kd 	 theta 	 phi
3.14159	1.10715	(28.6217,0)	
----------------------------

1	-1.0363613744041792405492508066799928201362490653991699218750000000000000000000000000000000000000000000e-02	2.9703602071375213855564112463980563916265964508056640625000000000000000000000000000000000000000000000e-02
2	6.4881662310833010040567181420101405819877982139587402343750000000000000000000000000000000000000000000e-03	-1.3358063872406253022595556956275686388835310935974121093750000000000000000000000000000000000000000000e-02
3	-9.1756526789291276147153553210955578833818435668945312500000000000000000000000000000000000000000000000e-03	1.8891155095402987346142609226262720767408609390258789062500000000000000000000000000000000000000000000e-02
4	-3.3709111301017745387920143684823415242135524749755859375000000000000000000000000000000000000000000000e-02	-1.3552288097745234657365287489483307581394910812377929687500000000000000000000000000000000000000000000e-02
5	-6.5436318307807985958368668377715948736295104026794433593750000000000000000000000000000000000000000000e-03	-3.5337278213686906889329231162832911650184541940689086914062500000000000000000000000000000000000000000e-04
6	1.3761687061696578279756941753930732375010848045349121093750000000000000000000000000000000000000000000e-02	5.5326984477782484642127691643054276937618851661682128906250000000000000000000000000000000000000000000e-03
7	-2.0621847639456167278204645754158264026045799255371093750000000000000000000000000000000000000000000000e-02	-1.2845542533471497603780875351731083355844020843505859375000000000000000000000000000000000000000000000e-02
8	2.0621847639456149930969885986087319906800985336303710937500000000000000000000000000000000000000000000e-02	1.2845542533471488930163495467695611296221613883972167968750000000000000000000000000000000000000000000e-02
9	1.6654313218439100591217183477965591009706258773803710937500000000000000000000000000000000000000000000e-02	-3.3298530194703454543336818005627719685435295104980468750000000000000000000000000000000000000000000000e-02
10	7.0560877716999217956761469849880086258053779602050781250000000000000000000000000000000000000000000000e-03	-1.9377080782089814436908170591777889057993888854980468750000000000000000000000000000000000000000000000e-02
11	-8.4377138017805459330178408094980113673955202102661132812500000000000000000000000000000000000000000000e-03	1.3537788644158136805439873739942413521930575370788574218750000000000000000000000000000000000000000000e-02
12	3.3017352691120148769354791795649362029507756233215332031250000000000000000000000000000000000000000000e-03	2.0566819023768189746148582486284794867970049381256103515625000000000000000000000000000000000000000000e-03
13	8.4377138017805424635708888558838225435465574264526367187500000000000000000000000000000000000000000000e-03	-1.3537788644158136805439873739942413521930575370788574218750000000000000000000000000000000000000000000e-02
14	-1.9626306086565088043771609704890579450875520706176757812500000000000000000000000000000000000000000000e-02	2.3433165815412642513093643970023549627512693405151367187500000000000000000000000000000000000000000000e-02
15	1.6024811815921410212970599218351708259433507919311523437500000000000000000000000000000000000000000000e-02	-1.9133099768596895096095522603718563914299011230468750000000000000000000000000000000000000000000000000e-02
16	3.0507684136443391498261235028621740639209747314453125000000000000000000000000000000000000000000000000e-02	2.0000210417810627278045743082657281775027513504028320312500000000000000000000000000000000000000000000e-02
17	2.6783800938931144608456946798469289205968379974365234375000000000000000000000000000000000000000000000e-02	1.4569587629137573797644122919336950872093439102172851562500000000000000000000000000000000000000000000e-02
18	-5.9593746637928018961005705023126211017370223999023437500000000000000000000000000000000000000000000000e-03	-7.1025626362635407504142470713759394129738211631774902343750000000000000000000000000000000000000000000e-03
19	-1.4062932520845807665699211952414771076291799545288085937500000000000000000000000000000000000000000000e-02	-5.8297973810784676704233042698888311861082911491394042968750000000000000000000000000000000000000000000e-03
20	9.4225986839427192109930331298528471961617469787597656250000000000000000000000000000000000000000000000e-03	1.1230137577301412682428960465585987549275159835815429687500000000000000000000000000000000000000000000e-02
21	1.6954967342687899799907880193927667278330773115158081054687500000000000000000000000000000000000000000e-03	-4.5377538975995470454938285342905146535485982894897460937500000000000000000000000000000000000000000000e-03
22	-1.4704472374370626194806099817924405215308070182800292968750000000000000000000000000000000000000000000e-02	-1.4433528449716039737671380294159462209790945053100585937500000000000000000000000000000000000000000000e-02
23	2.2297938231333826880620208044092578347772359848022460937500000000000000000000000000000000000000000000e-02	2.6575355953000055764245956879676668904721736907958984375000000000000000000000000000000000000000000000e-02
24	-1.5767023329854922691906082832247193437069654464721679687500000000000000000000000000000000000000000000e-02	-1.8791614406812619936237851447913271840661764144897460937500000000000000000000000000000000000000000000e-02
25	-2.3340046004044046057401828875299543142318725585937500000000000000000000000000000000000000000000000000e-02	2.5979756801559755752251135163533035665750503540039062500000000000000000000000000000000000000000000000e-02
26	-2.2934705369461426405219839352866983972489833831787109375000000000000000000000000000000000000000000000e-02	2.9372878039534106725527706771572411525994539260864257812500000000000000000000000000000000000000000000e-02
27	2.3587149261531585413276257412462655338458716869354248046875000000000000000000000000000000000000000000e-03	2.8111876579732203267070200780608502100221812725067138671875000000000000000000000000000000000000000000e-03
28	1.3241358318843307606549331012502079829573631286621093750000000000000000000000000000000000000000000000e-02	-1.6958439042999064877426107500468788202852010726928710937500000000000000000000000000000000000000000000e-02
29	-6.3239364639197078246657390820928412722423672676086425781250000000000000000000000000000000000000000000e-03	-1.3498008284990930735758318803618749370798468589782714843750000000000000000000000000000000000000000000e-03
30	-7.8249692101646332875741762791221844963729381561279296875000000000000000000000000000000000000000000000e-03	1.1007368693397608441775226140180166112259030342102050781250000000000000000000000000000000000000000000e-02
31	1.5468890258481231975151715118954598437994718551635742187500000000000000000000000000000000000000000000e-02	-6.3127398569321887741856436093712545698508620262145996093750000000000000000000000000000000000000000000e-03
32	-2.8888240088808573267920021265808827592991292476654052734375000000000000000000000000000000000000000000e-03	-3.4429876666220438075072252104291692376136779785156250000000000000000000000000000000000000000000000000e-03
33	-2.2114073006644620333904782683021039701998233795166015625000000000000000000000000000000000000000000000e-02	1.3741792099787005984601329089400678640231490135192871093750000000000000000000000000000000000000000000e-02
34	3.2941885284474378692287643843883415684103965759277343750000000000000000000000000000000000000000000000e-02	-1.7446018902689416907314523541572270914912223815917968750000000000000000000000000000000000000000000000e-02
35	-2.0834277583784546750145239002449670806527137756347656250000000000000000000000000000000000000000000000e-02	1.1033831166969997744642384418511937838047742843627929687500000000000000000000000000000000000000000000e-02
36	-2.0004588848778877274714460554605466313660144805908203125000000000000000000000000000000000000000000000e-02	-2.6208243950852999626377481945382896810770034790039062500000000000000000000000000000000000000000000000e-02
37	-2.7338889101881033022456435332969704177230596542358398437500000000000000000000000000000000000000000000e-02	-3.1558731275701620844209571714600315317511558532714843750000000000000000000000000000000000000000000000e-02
38	-9.6934459097301542418456676841742591932415962219238281250000000000000000000000000000000000000000000000e-03	-5.4365755641217440238821545506198162911459803581237792968750000000000000000000000000000000000000000000e-03
39	1.3487091050480426793201083057738287607207894325256347656250000000000000000000000000000000000000000000e-02	1.7669594467068186482983094265364343300461769104003906250000000000000000000000000000000000000000000000e-02
40	9.9015246991683673882800320598107646219432353973388671875000000000000000000000000000000000000000000000e-03	3.0269390633600855994300715678946289699524641036987304687500000000000000000000000000000000000000000000e-03
41	-8.7640329314088508128044452405447373166680335998535156250000000000000000000000000000000000000000000000e-03	-1.4102641877755667590421673196487972745671868324279785156250000000000000000000000000000000000000000000e-02
42	-5.3226390520710866946507699992707784986123442649841308593750000000000000000000000000000000000000000000e-03	5.6438801225935347066764435908226005267351865768432617187500000000000000000000000000000000000000000000e-03
43	7.8642248797189083509007190286865807138383388519287109375000000000000000000000000000000000000000000000e-03	1.2399636779153426144328697944274608744308352470397949218750000000000000000000000000000000000000000000e-02
44	-1.4802469020266447331107828588869779196102172136306762695312500000000000000000000000000000000000000000e-03	-1.8514560850490763971309959856625937391072511672973632812500000000000000000000000000000000000000000000e-02
45	-4.9507623495841602753730903430096077499911189079284667968750000000000000000000000000000000000000000000e-03	-1.5134695316800280545654899810870119836181402206420898437500000000000000000000000000000000000000000000e-03
46	9.0087132413084382992485288355055672582238912582397460937500000000000000000000000000000000000000000000e-03	2.9959720711813356969210886404653138015419244766235351562500000000000000000000000000000000000000000000e-02
47	-9.2114867417678863298347025079237937461584806442260742187500000000000000000000000000000000000000000000e-03	-3.7617662845975639862583506101145758293569087982177734375000000000000000000000000000000000000000000000e-02
48	5.3182543499963588415346826820950809633359313011169433593750000000000000000000000000000000000000000000e-03	2.1718567770408613026855704219997278414666652679443359375000000000000000000000000000000000000000000000e-02
49	2.8035032016841310992250058120589528698474168777465820312500000000000000000000000000000000000000000000e-02	-1.2842706415222867114001026322966936277225613594055175781250000000000000000000000000000000000000000000e-02
50	3.9341572660949133966035162757179932668805122375488281250000000000000000000000000000000000000000000000e-02	-2.0835292648776433666046870030186255462467670440673828125000000000000000000000000000000000000000000000e-02
51	1.5438903988670527739346383100382809061557054519653320312500000000000000000000000000000000000000000000e-02	-1.2589460452656684938399500595096469623968005180358886718750000000000000000000000000000000000000000000e-02
52	-1.7997627002805393486850604745086457114666700363159179687500000000000000000000000000000000000000000000e-02	6.5895289503160679039917013710692117456346750259399414062500000000000000000000000000000000000000000000e-03
53	-1.3967386883299312202999509224810026353225111961364746093750000000000000000000000000000000000000000000e-02	1.2719427230900044040184937443882517982274293899536132812500000000000000000000000000000000000000000000e-02
54	1.3149563458051825165506798498427087906748056411743164062500000000000000000000000000000000000000000000e-02	-1.3188550814765775086312427077928077778778970241546630859375000000000000000000000000000000000000000000e-03
55	7.1746114941975067114121600297949044033885002136230468750000000000000000000000000000000000000000000000e-03	-1.0201406199004101060801019684731727465987205505371093750000000000000000000000000000000000000000000000e-02
56	-1.5422028244158439078126399124357703840360045433044433593750000000000000000000000000000000000000000000e-02	7.7626513444184063079955837594070544582791626453399658203125000000000000000000000000000000000000000000e-04
57	2.6697591745829863697780925946290153660811483860015869140625000000000000000000000000000000000000000000e-03	7.8045909502566018431379823994120670249685645103454589843750000000000000000000000000000000000000000000e-03
58	1.7533869817566990340074184473451168742030858993530273437500000000000000000000000000000000000000000000e-02	-2.3863049664135504296380574373870331328362226486206054687500000000000000000000000000000000000000000000e-03
59	-1.8584427071631690747688381293301063124090433120727539062500000000000000000000000000000000000000000000e-02	-4.7940161826349097021204848090292216511443257331848144531250000000000000000000000000000000000000000000e-03
60	-7.7155171805234658288785709601143025793135166168212890625000000000000000000000000000000000000000000000e-03	4.0861370687510917276696886801801156252622604370117187500000000000000000000000000000000000000000000000e-03
61	3.5971645122739530353594972211794811300933361053466796875000000000000000000000000000000000000000000000e-02	7.2501044831543008011356943320890877657802775502204895019531250000000000000000000000000000000000000000e-05
62	-3.9301445276130886341547920892480760812759399414062500000000000000000000000000000000000000000000000000e-02	-1.6880265673716969565543166709176148287951946258544921875000000000000000000000000000000000000000000000e-03
63	2.1007506146903841964812542641993786673992872238159179687500000000000000000000000000000000000000000000e-02	9.0228815355384997878851471853067778283730149269104003906250000000000000000000000000000000000000000000e-04
64	8.7479643509287153407827375417582516092807054519653320312500000000000000000000000000000000000000000000e-03	-2.1759137780715663568198436905731796287000179290771484375000000000000000000000000000000000000000000000e-02
65	-1.2371489828239729674708158313478634227067232131958007812500000000000000000000000000000000000000000000e-02	3.0772067755032890545852097829992999322712421417236328125000000000000000000000000000000000000000000000e-02
66	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
67	2.4388376358372383656547555119686876423656940460205078125000000000000000000000000000000000000000000000e-02	1.1845716672025339080698280724845972144976258277893066406250000000000000000000000000000000000000000000e-02
68	-1.2194188179186190093550301583036343799903988838195800781250000000000000000000000000000000000000000000e-02	-5.9228583360126669382639263972123444546014070510864257812500000000000000000000000000000000000000000000e-03
69	-2.9869538866484458133898627352209587115794420242309570312500000000000000000000000000000000000000000000e-02	-1.4507980742020868542008216195426939520984888076782226562500000000000000000000000000000000000000000000e-02
70	2.4388376358372383656547555119686876423656940460205078125000000000000000000000000000000000000000000000e-02	1.1845716672025325202910472910389216849580407142639160156250000000000000000000000000000000000000000000e-02
71	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
72	-1.4716417750602001426885045987091871211305260658264160156250000000000000000000000000000000000000000000e-02	2.3625294444413566519180847080860985442996025085449218750000000000000000000000000000000000000000000000e-02
73	-3.3518041921118953312037728042490366178808490394585347521561047301474900450557470321655273437500000000e-18	6.7036083842237906624075456084980732357616980789170695043122094602949800901114940643310546875000000000e-18
74	1.8998813621304240506493243856311892159283161163330078125000000000000000000000000000000000000000000000e-02	-3.0500123977486776061240902890858706086874008178710937500000000000000000000000000000000000000000000000e-02
75	5.8656573361958166370136079687122287756936915605597039624630184562192880548536777496337890625000000000e-18	-8.3795104802797387131954208880697621558977111156318005880105914684463641606271266937255859375000000000e-18
76	-1.8998813621304237037046291902697703335434198379516601562500000000000000000000000000000000000000000000e-02	3.0500123977486789939028710705315461382269859313964843750000000000000000000000000000000000000000000000e-02
77	1.2015904776870612105654778645202895859256386756896972656250000000000000000000000000000000000000000000e-02	-1.9289972137274472019363713570783147588372230529785156250000000000000000000000000000000000000000000000e-02
78	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
79	-2.0959260676514778615198153488563548307865858078002929687500000000000000000000000000000000000000000000e-02	-1.7554301822710983993491851151702576316893100738525390625000000000000000000000000000000000000000000000e-02
80	-7.4102176765100781843931265768787852721288800239562988281250000000000000000000000000000000000000000000e-03	-6.2063829289171635467114995776682917494326829910278320312500000000000000000000000000000000000000000000e-03
81	2.3765567748785781237996772574661008547991514205932617187500000000000000000000000000000000000000000000e-02	1.9904707312397611901344518514633818995207548141479492187500000000000000000000000000000000000000000000e-02
82	1.4003995094928965714498048100722371600568294525146484375000000000000000000000000000000000000000000000e-02	1.1728961265108184958139148079681035596877336502075195312500000000000000000000000000000000000000000000e-02
83	-2.5051107991067786406880202321190154179930686950683593750000000000000000000000000000000000000000000000e-02	-2.0981403755395037352693421439653320703655481338500976562500000000000000000000000000000000000000000000e-02
84	-8.4023970569573527139572988176041690167039632797241210937500000000000000000000000000000000000000000000e-03	-7.0373767590648974440403762287132849451154470443725585937500000000000000000000000000000000000000000000e-03
85	2.7726495706916751138315646585397189483046531677246093750000000000000000000000000000000000000000000000e-02	2.3222158531130535075170939762756461277604103088378906250000000000000000000000000000000000000000000000e-02
86	-1.4820435353020151164615825223336287308484315872192382812500000000000000000000000000000000000000000000e-02	-1.2412765857834292398953479619194695260375738143920898437500000000000000000000000000000000000000000000e-02
87	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
88	2.0115221465341892592704198250430636107921600341796875000000000000000000000000000000000000000000000000e-02	-1.6877590145435446278288083021834609098732471466064453125000000000000000000000000000000000000000000000e-02
89	1.2721983093838037243150651534051576163619756698608398437500000000000000000000000000000000000000000000e-02	-1.0674325254877718022195054459189123008400201797485351562500000000000000000000000000000000000000000000e-02
90	-1.7991601031586947762042072440635820385068655014038085937500000000000000000000000000000000000000000000e-02	1.5095775544629682143882298817061382578685879707336425781250000000000000000000000000000000000000000000e-02
91	-2.2035121091559757566802346673284773714840412139892578125000000000000000000000000000000000000000000000e-02	1.8488473677963804947532722167125029955059289932250976562500000000000000000000000000000000000000000000e-02
92	1.5268903706954099763759558072706568054854869842529296875000000000000000000000000000000000000000000000e-02	-1.2811308052466982565498199164721881970763206481933593750000000000000000000000000000000000000000000000e-02
93	2.2808517241835531141891380002562073059380054473876953125000000000000000000000000000000000000000000000e-02	-1.9137388394955729548074785384415008593350648880004882812500000000000000000000000000000000000000000000e-02
94	-1.9433150172487045209690492697518493514508008956909179687500000000000000000000000000000000000000000000e-02	1.6305301157685279239695219644090684596449136734008789062500000000000000000000000000000000000000000000e-02
95	-1.4690080727706510826946484371546830516308546066284179687500000000000000000000000000000000000000000000e-02	1.2325649118642562074299462437920738011598587036132812500000000000000000000000000000000000000000000000e-02
96	2.6987401547380412969445728776918258517980575561523437500000000000000000000000000000000000000000000000e-02	-2.2643663316944548369313849889294942840933799743652343750000000000000000000000000000000000000000000000e-02
97	-1.2721983093838011222298511881945159984752535820007324218750000000000000000000000000000000000000000000e-02	1.0674325254877711083301150551960745360702276229858398437500000000000000000000000000000000000000000000e-02
98	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
99	1.1647282673441448561102440351078257663175463676452636718750000000000000000000000000000000000000000000e-02	2.1992607702907403244285688970194314606487751007080078125000000000000000000000000000000000000000000000e-02
100	1.0086842680258639726176284057146403938531875610351562500000000000000000000000000000000000000000000000e-02	1.9046156966183138553594389463796687778085470199584960937500000000000000000000000000000000000000000000e-02
101	-7.1684069506582704170427611245486332336440682411193847656250000000000000000000000000000000000000000000e-03	-1.3535514363372126017681651433122169692069292068481445312500000000000000000000000000000000000000000000e-02
102	-1.5705192753009460104873795671664993278682231903076171875000000000000000000000000000000000000000000000e-02	-2.9654826177016400251540417798423732165247201919555664062500000000000000000000000000000000000000000000e-02
103	2.6175321255015554337830518960572590003721415996551513671875000000000000000000000000000000000000000000e-03	4.9424710295027018611135893877417402109131217002868652343750000000000000000000000000000000000000000000e-03
104	1.6968594898755719191374424781315610744059085845947265625000000000000000000000000000000000000000000000e-02	3.2040404731383101410990832391689764335751533508300781250000000000000000000000000000000000000000000000e-02
105	-2.6821722818332039382782649994396706460975110530853271484375000000000000000000000000000000000000000000e-03	-5.0645257301495816976144581644803110975772142410278320312500000000000000000000000000000000000000000000e-03
106	-1.6554726730493400654875557620471226982772350311279296875000000000000000000000000000000000000000000000e-02	-3.1258931445251804392970740309465327300131320953369140625000000000000000000000000000000000000000000000e-02
107	7.8525963765047109704786620909544581081718206405639648437500000000000000000000000000000000000000000000e-03	1.4827413088508167166024165339877072256058454513549804687500000000000000000000000000000000000000000000e-02
108	1.1778894564757155793977005941997049376368522644042968750000000000000000000000000000000000000000000000e-02	2.2241119632762332281039618919749045744538307189941406250000000000000000000000000000000000000000000000e-02
109	-1.5770495291448249908228262938791885972023010253906250000000000000000000000000000000000000000000000000e-02	-2.9778131599418694586134392920939717441797256469726562500000000000000000000000000000000000000000000000e-02
110	6.7245617868390951746282446777058794395998120307922363281250000000000000000000000000000000000000000000e-03	1.2697437977455403729232230602974595967680215835571289062500000000000000000000000000000000000000000000e-02
111	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
112	-2.2713821858840264888979021407067193649709224700927734375000000000000000000000000000000000000000000000e-02	5.5619635319786135674302585130135412327945232391357421875000000000000000000000000000000000000000000000e-03
113	-2.4282096954284911050070405735823442228138446807861328125000000000000000000000000000000000000000000000e-02	5.9459891241128931885229214060473168501630425453186035156250000000000000000000000000000000000000000000e-03
114	7.1431665115874905247483894754623179323971271514892578125000000000000000000000000000000000000000000000e-03	-1.7491566098920179397890883876698353560641407966613769531250000000000000000000000000000000000000000000e-03
115	3.3334777054075122315612844658971880562603473663330078125000000000000000000000000000000000000000000000e-02	-8.1627308461628533126086537663468334358185529708862304687500000000000000000000000000000000000000000000e-03
116	7.1791524648387424270556955718802782939746975898742675781250000000000000000000000000000000000000000000e-03	-1.7579685377521298787067971503006447164807468652725219726562500000000000000000000000000000000000000000e-03
117	-3.3504420780993089679089536048195441253483295440673828125000000000000000000000000000000000000000000000e-02	8.2042717294369613134641383567213779315352439880371093750000000000000000000000000000000000000000000000e-03
118	-1.2020168263571199065986583320864156121388077735900878906250000000000000000000000000000000000000000000e-02	2.9433944646444281864616776545062748482450842857360839843750000000000000000000000000000000000000000000e-03
119	3.4119232076567161671132311084875254891812801361083984375000000000000000000000000000000000000000000000e-02	-8.3548213826958074579298596518128761090338230133056640625000000000000000000000000000000000000000000000e-03
120	7.4607940946304004969924505985545692965388298034667968750000000000000000000000000000000000000000000000e-03	-1.8269344952965384850512853276427449600305408239364624023437500000000000000000000000000000000000000000e-03
121	-3.5534991737416900259294294528444879688322544097900390625000000000000000000000000000000000000000000000e-02	8.7015003190998151810786609416936698835343122482299804687500000000000000000000000000000000000000000000e-03
122	7.8970677113226160626080485371858230791985988616943359375000000000000000000000000000000000000000000000e-03	-1.9337653915273847818334651549321279162541031837463378906250000000000000000000000000000000000000000000e-03
123	2.8572666046350086999083828231960069388151168823242187500000000000000000000000000000000000000000000000e-02	-6.9966264395681680363092702634730812860652804374694824218750000000000000000000000000000000000000000000e-03
124	-3.0953721550212601187901384491851786151528358459472656250000000000000000000000000000000000000000000000e-02	7.5796786428655458026093505452536192024126648902893066406250000000000000000000000000000000000000000000e-03
125	1.2141048477142426034736111262191116111353039741516113281250000000000000000000000000000000000000000000e-02	-2.9729945620564539668362336044538096757605671882629394531250000000000000000000000000000000000000000000e-03
126	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
127	6.4881662310833036061419321072207821998745203018188476562500000000000000000000000000000000000000000000e-03	-1.3358063872406253022595556956275686388835310935974121093750000000000000000000000000000000000000000000e-02
128	-1.4951440083506357947573661704154801554977893829345703125000000000000000000000000000000000000000000000e-02	3.9149179619076705793911941100304829888045787811279296875000000000000000000000000000000000000000000000e-02
129	-6.4881662310833010040567181420101405819877982139587402343750000000000000000000000000000000000000000000e-03	1.3358063872406253022595556956275686388835310935974121093750000000000000000000000000000000000000000000e-02
130	1.4581848306455246280788351498358679236844182014465332031250000000000000000000000000000000000000000000e-02	9.0831702334379267604891339260575477965176105499267578125000000000000000000000000000000000000000000000e-03
131	-2.3835941188721718186904752201371593400835990905761718750000000000000000000000000000000000000000000000e-02	-9.5829148145093866889565603628398093860596418380737304687500000000000000000000000000000000000000000000e-03
132	-3.7321008412526841813150468851745245046913623809814453125000000000000000000000000000000000000000000000e-02	-1.8948983340748407760978366809467843268066644668579101562500000000000000000000000000000000000000000000e-02
133	2.3835941188721718186904752201371593400835990905761718750000000000000000000000000000000000000000000000e-02	9.5829148145093832195096084092256205622106790542602539062500000000000000000000000000000000000000000000e-03
134	1.4581848306455251484958779428779962472617626190185546875000000000000000000000000000000000000000000000e-02	9.0831702334379198215952300188291701488196849822998046875000000000000000000000000000000000000000000000e-03
135	-1.1331253102276348312948961449819762492552399635314941406250000000000000000000000000000000000000000000e-02	1.3529144591493612662103096511145849945023655891418457031250000000000000000000000000000000000000000000e-02
