
Bessel Functions
----------------
nmax   :   14
dim    :    8
z      :    1.800000000e+00    1.000000000e-01
----------------
   No             re(jn)             im(jn)             re(yn)             im(yn)            re(hn1)            im(hn1)            re(hn2)            im(hn2)
    0    9.787209281e-01   -2.275809542e-02    2.283390522e-01    9.754715220e-02    8.811737759e-01    2.055809567e-01    1.076268080e+00   -2.510971476e-01
    1    7.696996248e-01    5.482817849e-02   -8.492547714e-01    6.975839350e-02    6.999412313e-01   -7.944265930e-01    8.394580183e-01    9.040829499e-01
    2    3.052256649e-01    4.280802662e-02   -1.632969282e+00    9.675184975e-02    2.084738152e-01   -1.590161256e+00    4.019775147e-01    1.675777309e+00
    3    8.212652839e-02    1.675933139e-02   -3.657929110e+00    4.493958492e-01   -3.672693208e-01   -3.641169779e+00    5.315223776e-01    3.674688442e+00
    4    1.678227035e-02    4.477821286e-03   -1.245174755e+01    2.433382943e+00   -2.416600673e+00   -1.244726973e+01    2.450165214e+00    1.245622537e+01
    5    2.766646619e-03    9.134875367e-04   -5.773538338e+01    1.512825845e+01   -1.512549180e+01   -5.773446990e+01    1.513102510e+01    5.773629687e+01
    6    3.821725268e-04    1.510223893e-04   -3.341696391e+02    1.092738291e+02   -1.092734469e+02   -3.341694881e+02    1.092742112e+02    3.341697902e+02
    7    4.540453021e-05    2.100465555e-05   -2.304576487e+03    9.053111665e+02   -9.053111211e+02   -2.304576466e+03    9.053112119e+02    2.304576508e+03
    8    4.728795937e-06    2.521889031e-06   -1.839370679e+04    8.475423471e+03   -8.475423466e+03   -1.839370679e+04    8.475423476e+03    1.839370679e+04
    9    4.380442570e-07    2.663756042e-07   -1.664459490e+05    8.851538414e+04   -8.851538414e+04   -1.664459490e+05    8.851538414e+04    1.664459490e+05
   10    3.650475180e-08    2.511453015e-08   -1.681382363e+06    1.020285635e+06   -1.020285635e+06   -1.681382363e+06    1.020285635e+06    1.681382363e+06
   11    2.761937289e-09    2.138014585e-09   -1.873006281e+07    1.286462307e+07   -1.286462307e+07   -1.873006281e+07    1.286462307e+07    1.873006281e+07
   12    1.911365946e-10    1.658846367e-10   -2.278066076e+08    1.761103419e+08   -1.761103419e+08   -2.278066076e+08    1.761103419e+08    2.278066076e+08
   13    1.217297230e-11    1.182146611e-11   -3.000045780e+09    2.600822117e+09   -2.600822117e+09   -3.000045780e+09    2.600822117e+09    3.000045780e+09
   14    4.211104716e-13    4.092815803e-13   -2.225595916e+10    2.413006951e+10   -2.413006951e+10   -2.225595916e+10    2.413006951e+10    2.225595916e+10


   No             re(jn)             im(jn)             re(yn)             im(yn)            re(hn1)            im(hn1)            re(hn2)            im(hn2)
    0   -2.283390522e-01   -9.754715220e-02    9.787209281e-01   -2.275809542e-02   -2.055809567e-01    8.811737759e-01   -2.510971476e-01   -1.076268080e+00
    1    5.507387304e-01   -2.944140582e-02    6.965491288e-01    3.278081822e-02    5.179579122e-01    6.671077230e-01    5.835195486e-01   -7.259905347e-01
    2    4.289691635e-01    2.619317453e-02    9.536187812e-01   -1.379033036e-01    5.668724671e-01    9.798119557e-01    2.910658599e-01   -9.274256067e-01
    3    1.672222641e-01    2.254266323e-02    4.403337930e+00   -9.875916330e-01    1.154813897e+00    4.425880593e+00   -8.203693689e-01   -4.380795267e+00
    4    4.439622839e-02    8.904745203e-03    2.362798755e+01   -6.474006062e+00    6.518402290e+00    2.363689230e+01   -6.429609833e+00   -2.361908281e+01
    5    8.980250859e-03    2.373801434e-03    1.451034282e+02   -4.834262252e+01    4.835160277e+01    1.451058020e+02   -4.833364226e+01   -1.451010544e+02
    6    1.468776858e-03    4.821834480e-04    1.032562403e+03   -4.096899377e+02    4.096914064e+02    1.032562885e+03   -4.096884689e+02   -1.032561921e+03
    7    2.016185762e-04    7.936839275e-05    8.405506027e+03   -3.896918244e+03    3.896918446e+03    8.405506107e+03   -3.896918043e+03   -8.405505948e+03
    8    2.383155399e-05    1.099475854e-05    7.710743551e+04   -4.117501604e+04    4.117501606e+04    7.710743552e+04   -4.117501601e+04   -7.710743550e+04
    9    2.471548242e-06    1.315413660e-06    7.867633788e+05   -4.788324464e+05    4.788324464e+05    7.867633788e+05   -4.788324464e+05   -7.867633788e+05
   10    2.281365454e-07    1.385119762e-07    8.831891557e+06   -6.079645784e+06    6.079645784e+06    8.831891557e+06   -6.079645784e+06   -8.831891557e+06
   11    1.895454431e-08    1.302389699e-08    1.080737433e+08   -8.369436232e+07    8.369436232e+07    1.080737433e+08   -8.369436232e+07   -1.080737433e+08
   12    1.430364363e-09    1.106093281e-09    1.430282342e+09   -1.241705012e+09    1.241705012e+09    1.430282342e+09   -1.241705012e+09   -1.430282342e+09
   13    9.876260760e-11    8.563926969e-11    2.033219416e+10   -1.974982721e+10    1.974982721e+10    2.033219416e+10   -1.974982721e+10   -2.033219416e+10
   14    3.418335890e-12    2.966893784e-12    1.721771671e+11   -2.092044095e+11    2.092044095e+11    1.721771671e+11   -2.092044095e+11   -1.721771671e+11
