
LegendrePolynomial
--------------------------
nmax          : 14
Theta         : 3.141592654e+00
Theta (deg)   : 1.800000000e+02
ctheta        : -1.000000000e+00
--------------------------
    n                 Pn                P'n               P''n
    0    1.000000000e+00    0.000000000e+00    0.000000000e+00
    1   -1.000000000e+00    1.000000000e+00    0.000000000e+00
    2    1.000000000e+00   -3.000000000e+00    3.000000000e+00
    3   -1.000000000e+00    6.000000000e+00   -1.500000000e+01
    4    1.000000000e+00   -1.000000000e+01    4.500000000e+01
    5   -1.000000000e+00    1.500000000e+01   -1.050000000e+02
    6    1.000000000e+00   -2.100000000e+01    2.100000000e+02
    7   -1.000000000e+00    2.800000000e+01   -3.780000000e+02
    8    1.000000000e+00   -3.600000000e+01    6.300000000e+02
    9   -1.000000000e+00    4.500000000e+01   -9.900000000e+02
   10    1.000000000e+00   -5.500000000e+01    1.485000000e+03
   11   -1.000000000e+00    6.600000000e+01   -2.145000000e+03
   12    1.000000000e+00   -7.800000000e+01    3.003000000e+03
   13   -1.000000000e+00    9.100000000e+01   -4.095000000e+03
   14    1.000000000e+00   -1.050000000e+02    5.460000000e+03
