
LegendrePolynomial
--------------------------
nmax          : 14
Theta         : 3.228859116e-01
Theta (deg)   : 1.850000000e+01
ctheta        : 9.483236552e-01
--------------------------
    n                 Pn                P'n               P''n
    0    1.000000000e+00    0.000000000e+00    0.000000000e+00
    1    9.483236552e-01    1.000000000e+00    0.000000000e+00
    2    8.489766325e-01    2.844970966e+00    3.000000000e+00
    3    7.096252688e-01    5.244883163e+00    1.422485483e+01
    4    5.409377759e-01    7.812347847e+00    3.971418214e+01
    5    3.556711449e-01    1.011332315e+01    8.453598545e+01
    6    1.675860138e-01    1.172473044e+01    1.509607367e+02
    7   -9.713102091e-03    1.229194132e+01    2.369574812e+02
    8   -1.639086954e-01    1.157903391e+01    3.353398566e+02
    9   -2.849721741e-01    9.505493502e+00    4.338010576e+02
   10   -3.659492963e-01    6.164562601e+00    5.159442331e+02
   11   -4.034621927e-01    1.820558279e+00    5.632568723e+02
   12   -3.978875659e-01   -3.115067831e+00    5.578170735e+02
   13   -3.532006506e-01   -8.126630868e+00    4.853801765e+02
   14   -2.765051435e-01   -1.265148540e+01    3.383980401e+02
