nmax : 
15
Wavelength (micrometers) : 
0.5
Re(nmat) : 
1.5
radius
0.25
Re (nincl) : Im (ninc)
1.8
0.1


SphericalTMatrix          
--------------------------
nmax    :    15
dimtn   :   510
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
    1    1    1   -5.055445890e-01    2.703100247e-01
    2    1    0   -5.055445890e-01    2.703100247e-01
    3    1   -1   -5.055445890e-01    2.703100247e-01
    4    2    2   -5.561503275e-01    3.101718726e-01
    5    2    1   -5.561503275e-01    3.101718726e-01
    6    2    0   -5.561503275e-01    3.101718726e-01
    7    2   -1   -5.561503275e-01    3.101718726e-01
    8    2   -2   -5.561503275e-01    3.101718726e-01
    9    3    3   -5.183426424e-01    2.475111131e-01
   10    3    2   -5.183426424e-01    2.475111131e-01
   11    3    1   -5.183426424e-01    2.475111131e-01
   12    3    0   -5.183426424e-01    2.475111131e-01
   13    3   -1   -5.183426424e-01    2.475111131e-01
   14    3   -2   -5.183426424e-01    2.475111131e-01
   15    3   -3   -5.183426424e-01    2.475111131e-01
   16    4    4   -1.917096612e-01    1.819111353e-01
   17    4    3   -1.917096612e-01    1.819111353e-01
   18    4    2   -1.917096612e-01    1.819111353e-01
   19    4    1   -1.917096612e-01    1.819111353e-01
   20    4    0   -1.917096612e-01    1.819111353e-01
   21    4   -1   -1.917096612e-01    1.819111353e-01
   22    4   -2   -1.917096612e-01    1.819111353e-01
   23    4   -3   -1.917096612e-01    1.819111353e-01
   24    4   -4   -1.917096612e-01    1.819111353e-01
   25    5    5   -2.526460863e-02    4.449814424e-02
   26    5    4   -2.526460863e-02    4.449814424e-02
   27    5    3   -2.526460863e-02    4.449814424e-02
   28    5    2   -2.526460863e-02    4.449814424e-02
   29    5    1   -2.526460863e-02    4.449814424e-02
   30    5    0   -2.526460863e-02    4.449814424e-02
   31    5   -1   -2.526460863e-02    4.449814424e-02
   32    5   -2   -2.526460863e-02    4.449814424e-02
   33    5   -3   -2.526460863e-02    4.449814424e-02
   34    5   -4   -2.526460863e-02    4.449814424e-02
   35    5   -5   -2.526460863e-02    4.449814424e-02
   36    6    6   -2.638717947e-03    5.877390096e-03
   37    6    5   -2.638717947e-03    5.877390096e-03
   38    6    4   -2.638717947e-03    5.877390096e-03
   39    6    3   -2.638717947e-03    5.877390096e-03
   40    6    2   -2.638717947e-03    5.877390096e-03
   41    6    1   -2.638717947e-03    5.877390096e-03
   42    6    0   -2.638717947e-03    5.877390096e-03
   43    6   -1   -2.638717947e-03    5.877390096e-03
   44    6   -2   -2.638717947e-03    5.877390096e-03
   45    6   -3   -2.638717947e-03    5.877390096e-03
   46    6   -4   -2.638717947e-03    5.877390096e-03
   47    6   -5   -2.638717947e-03    5.877390096e-03
   48    6   -6   -2.638717947e-03    5.877390096e-03
   49    7    7   -2.368324324e-04    5.710643110e-04
   50    7    6   -2.368324324e-04    5.710643110e-04
   51    7    5   -2.368324324e-04    5.710643110e-04
   52    7    4   -2.368324324e-04    5.710643110e-04
   53    7    3   -2.368324324e-04    5.710643110e-04
   54    7    2   -2.368324324e-04    5.710643110e-04
   55    7    1   -2.368324324e-04    5.710643110e-04
   56    7    0   -2.368324324e-04    5.710643110e-04
   57    7   -1   -2.368324324e-04    5.710643110e-04
   58    7   -2   -2.368324324e-04    5.710643110e-04
   59    7   -3   -2.368324324e-04    5.710643110e-04
   60    7   -4   -2.368324324e-04    5.710643110e-04
