nmax : 
25
Wavelength (micrometers) : 
0.555
Re(nmat) : 
1.6
radius
0.632
Re (nincl) : Im (ninc)
2.75
1.72

SphericalTMatrix          
--------------------------
nmax    :    25
dimtn   :  1350
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
    1    1    1   -3.022942907e-01   -1.023520826e-01
    2    1    0   -3.022942907e-01   -1.023520826e-01
    3    1   -1   -3.022942907e-01   -1.023520826e-01
    4    2    2   -6.513973268e-01    1.672959798e-01
    5    2    1   -6.513973268e-01    1.672959798e-01
    6    2    0   -6.513973268e-01    1.672959798e-01
    7    2   -1   -6.513973268e-01    1.672959798e-01
    8    2   -2   -6.513973268e-01    1.672959798e-01
    9    3    3   -4.552241172e-01   -2.259033326e-01
   10    3    2   -4.552241172e-01   -2.259033326e-01
   11    3    1   -4.552241172e-01   -2.259033326e-01
   12    3    0   -4.552241172e-01   -2.259033326e-01
   13    3   -1   -4.552241172e-01   -2.259033326e-01
   14    3   -2   -4.552241172e-01   -2.259033326e-01
   15    3   -3   -4.552241172e-01   -2.259033326e-01
   16    4    4   -3.800406082e-01    2.042266277e-01
   17    4    3   -3.800406082e-01    2.042266277e-01
   18    4    2   -3.800406082e-01    2.042266277e-01
   19    4    1   -3.800406082e-01    2.042266277e-01
   20    4    0   -3.800406082e-01    2.042266277e-01
   21    4   -1   -3.800406082e-01    2.042266277e-01
   22    4   -2   -3.800406082e-01    2.042266277e-01
   23    4   -3   -3.800406082e-01    2.042266277e-01
   24    4   -4   -3.800406082e-01    2.042266277e-01
   25    5    5   -7.438747862e-01   -2.929625492e-02
   26    5    4   -7.438747862e-01   -2.929625492e-02
   27    5    3   -7.438747862e-01   -2.929625492e-02
   28    5    2   -7.438747862e-01   -2.929625492e-02
   29    5    1   -7.438747862e-01   -2.929625492e-02
   30    5    0   -7.438747862e-01   -2.929625492e-02
   31    5   -1   -7.438747862e-01   -2.929625492e-02
   32    5   -2   -7.438747862e-01   -2.929625492e-02
   33    5   -3   -7.438747862e-01   -2.929625492e-02
   34    5   -4   -7.438747862e-01   -2.929625492e-02
   35    5   -5   -7.438747862e-01   -2.929625492e-02
   36    6    6   -3.617019249e-01   -2.167679318e-01
   37    6    5   -3.617019249e-01   -2.167679318e-01
   38    6    4   -3.617019249e-01   -2.167679318e-01
   39    6    3   -3.617019249e-01   -2.167679318e-01
   40    6    2   -3.617019249e-01   -2.167679318e-01
   41    6    1   -3.617019249e-01   -2.167679318e-01
   42    6    0   -3.617019249e-01   -2.167679318e-01
   43    6   -1   -3.617019249e-01   -2.167679318e-01
   44    6   -2   -3.617019249e-01   -2.167679318e-01
   45    6   -3   -3.617019249e-01   -2.167679318e-01
   46    6   -4   -3.617019249e-01   -2.167679318e-01
   47    6   -5   -3.617019249e-01   -2.167679318e-01
   48    6   -6   -3.617019249e-01   -2.167679318e-01
   49    7    7   -3.108130857e-01    1.955540910e-01
   50    7    6   -3.108130857e-01    1.955540910e-01
   51    7    5   -3.108130857e-01    1.955540910e-01
   52    7    4   -3.108130857e-01    1.955540910e-01
   53    7    3   -3.108130857e-01    1.955540910e-01
   54    7    2   -3.108130857e-01    1.955540910e-01
   55    7    1   -3.108130857e-01    1.955540910e-01
